id,semantic_groups,preflabel,synonyms,description,name
HP:0030978,DISO,Low CSF/serum albumin ratio,NA,Human phenotype,Low CSF/serum albumin ratio
HP:0025455,DISO,decreased CSF 5-HIAA (5-hydroxyindolacetic acid),NA,Human phenotype,decreased CSF 5-HIAA (5-hydroxyindolacetic acid)
HP:0007141,DISO,axonal sensorimotor polyneuropathy,NA,Human phenotype,axonal sensorimotor polyneuropathy
HP:0007327,DISO,axonal sensorimotor polyneuropathy with demyelinative features,NA,Human phenotype,axonal sensorimotor polyneuropathy with demyelinative features
HP:0012333,DISO,abnormal QSWEATs,NA,Human phenotype,abnormal QSWEATs
HP:0030001,DISO,lagopthalmous,NA,Human phenotype,NA
HP:0000539,DISO,refractive errors,NA,Human phenotype,refractive errors
HP:0030906,DISO,persistent nutritive suckle swallow,NA,Human phenotype,persistent nutritive suckle swallow
HP:0031146,DISO,poor oral bolus,NA,Human phenotype,poor oral bolus
HP:0031162,DISO,pharyngeal swallow response delays,NA,Human phenotype,pharyngeal swallow response delays
HP:0002015,DISO,Premature spillage,NA,Human phenotype,Premature spillage
HP:0005216,DISO,developmental delay in mastication,NA,Human phenotype,developmental delay in mastication
HP:0001649,DISO,tachycardia,NA,Human phenotype,NA
HP:0031144,DISO,coarse or inhomogeneous liver texture,NA,Human phenotype,coarse or inhomogeneous liver texture
HP:0005543,DISO,low coagulation protein C activity,NA,Human phenotype,low coagulation protein C activity
HP:0011900,DISO,low fibrinogen level,NA,Human phenotype,low fibrinogen level
HP:0012201,DISO,low factor II activity,NA,Human phenotype,low factor II activity
HP:0011858,DISO,low factor IX activity,NA,Human phenotype,low factor IX activity
HP:0001929,DISO,low factor XI activity,NA,Human phenotype,low factor XI activity
HP:0000938,DISO,low femoral bone density,NA,Human phenotype,low femoral bone density
HP:0031164,DISO,growth arrest lines,NA,Human phenotype,growth arrest lines
HP:0003835,DISO,dislocations or subluxations involving the shoulder joints ,NA,Human phenotype,dislocations or subluxations involving the shoulder joints 
HP:0030043,DISO,dislocations or subluxations involving the hips joints,NA,Human phenotype,dislocations or subluxations involving the hips joints
HP:0031051,DISO,sclerosis of the tarsal bones,NA,Human phenotype,sclerosis of the tarsal bones
HP:0100924,DISO,sclerosis of the phalanges bones,NA,Human phenotype,sclerosis of the phalanges bones
HP:0012785,DISO,flexion deformity of the fingers,NA,Human phenotype,flexion deformity of the fingers
HP:0031107,DISO,thinning of the fibulas,NA,Human phenotype,thinning of the fibulas
HP:0003174,DISO,prominent apophyseal bone formation in the ileac crests and ischia,NA,Human phenotype,prominent apophyseal bone formation in the ileac crests and ischia
DOID:2476,DISO,hereditary spastic paraplegia,familial spastic paraplegia|French settlement disease|hereditary spastic paraparesis|HSMN V|Strumpell-Lorrain disease|Strümpell-Lorrain disease,A paraplegia that is characterized by progressive stiffness and contraction (spasticity) in the lower limbs.,hereditary spastic paraplegia
DOID:11589,DISO,Riley-Day syndrome,familial autonomic nervous dysfunction|familial dysautonomia|HSAN III,Human disease,Riley-Day syndrome
DOID:10595,DISO,Charcot–Marie–Tooth disease,Charcot Marie Tooth muscular atrophy|Charcot-Marie-Tooth disease|Charcot-Marie-Tooth disease、C-M-T|CMT - Charcot-Marie-Tooth disease|Peroneal muscular atrophy,"A neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm.",Charcot–Marie–Tooth disease
DOID:5212,DISO,congenital disorder of glycosylation,Carbohydrate-deficient glycoprotein syndrome,A carbohydrate metabolic disorder that involves deficient or defective glycosylation of a variety of tissue proteins and/or lipids.,congenital disorder of glycosylation
DOID:0050602,DISO,triple-A syndrome,Allgrove Syndrome|triple-A syndrome|Achalasia-Addisonianism-Alacrimia syndrome,Human disease,triple-A syndrome
DOID:0060308,DISO,autosomal recessive non-syndromic intellectual disability,autosomal recessive mental retardation|autosomal recessive non-syndromic mental retardation,A non-syndromic intellectual disability characterized by an autosomal recessive inheritance pattern.,autosomal recessive non-syndromic intellectual disability
EC:3.5.1.52,GENE,N-glycanase 1,N-glycanase 1|NGLY1|Peptide:N-glycanase,mammalian protein found in Homo sapiens,N-glycanase 1
GO:0071712,PHYS,ER-associated misfolded protein catabolic process,endoplasmic reticulum-associated misfolded protein catabolic process|endoplasmic reticulum-associated misfolded protein catabolism|ER-associated misfolded protein breakdown|ER-associated misfolded protein catabolism|ER-associated misfolded protein degradation|proteasomal protein catabolism of misfolded ER proteins,The chemical reactions and pathways resulting in the breakdown of misfolded proteins transported from the endoplasmic reticulum and targeted to cytoplasmic proteasomes for degradation.,ER-associated misfolded protein catabolic process
GO:0097466,PHYS,glycoprotein ERAD pathway,ER-associated glycoprotein degradation|glycoprotein ERAD|gpERAD,"An ERAD pathway whereby endoplasmic reticulum (ER)-resident glycoproteins are targeted for degradation. Includes differential processing of the glycoprotein sugar chains, retrotranslocation to the cytosol and degradation by the ubiquitin-proteasome p",glycoprotein ERAD pathway
GO:0016567,PHYS,protein ubiquitination,GO:0016567|protein ubiquitinylation|protein ubiquitylation|ubiquitination,The process in which one or more ubiquitin groups are added to a protein.,protein ubiquitination
GO:0000502,GENE,proteasome complex,GO:0000502|proteasome,"A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that a",proteasome complex
GO:0005737,ANAT,cytoplasm,GO:0005737,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",NA
GO:0005794,ANAT,Golgi apparatus,Golgi|GO:0005794|Golgi body|Golgi complex,"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker mem",Golgi apparatus
HP:0000007,PHYS,Autosomal recessive inheritance,Autosom recessive inheritance|Autosomal Recessive Inheritance|Autosomal recessive|Autosomal recessive form|Autosomal recessive inheritance|Autosomal recessive inheritance (qualifier value)|Autosomal recessive|autosomal inheritance recessive|autosomal recessive|autosomal recessive inheritance|autosomal recessives|recessive autosomal inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in homozygotes. In the context of medical genetics, autosomal recessive disorders manifest in homozygotes (with two copies of the mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",NA
HP:0000252,DISO,microcephaly,Microcephalus|microencephaly,Human disease,NA
HP:0000365,DISO,deafness,Hearing impairment|hearing loss,partial or total inability to hear,NA
HP:0000657,DISO,Oculomotor apraxia,Cogan’s Ocular Motor Apraxia|Saccadic Initiation Failure|SIF|OMA|Ocular apraxia,"The absence or defect of controlled, voluntary, and purposeful eye movement",Oculomotor apraxia
HP:0000726,DISO,dementia,HP:0000726,mental disease,NA
HP:0001251,DISO,cerebellar ataxia,HP:0001251,A cerebellar disease characterized by ataxia originating in the cerebellum.,cerebellar ataxia
HP:0001257,DISO,spasticity,Muscle Spasticity,"muscle paralysis, increased tendon reflex activity, hypertonia",NA
HP:0001284,DISO,Areflexia,HP:0001284,NA,NA
HP:0001392,DISO,Liver storage or vacuolization,Hepatocyte cytoplasmic storage material or vacuolization,NA,Liver storage or vacuolization
HP:0001508,DISO,Failure to thrive,decreased growth rate|Pediatric failure to thrive,NA,Failure to thrive
HP:0001511,DISO,Intrauterine growth retardation,IUGR (intrauterine growth restriction),Intrauterine growth restriction (IUGR) refers to the poor growth of a baby while in the mother's womb during pregnancy.,Intrauterine growth retardation
HP:0002136,DISO,Broad-based gait,wide-based gait,An abnormal gait pattern in which persons stand and walk with their feet spaced widely apart. This is often a component of cerebellar ataxia.,Broad-based gait
HP:0002151,DISO,Increased serum lactate,Hyperlactatemia,"Increased levels of lactate in the blood, without evidence of lactic acidosis or shock.",Increased serum lactate
HP:0002187,DISO,intellectual disability,ID|general learning disability|IDD|intellectual developmental disability|mental retardation|syndromic intellectual disability,generalized neurodevelopmental disorder,intellectual disability
HP:0002353,DISO,EEG (electroencephalography) abnormalities, Electroencephalogram abnormal|EGG abnormalities,"Abnormality observed by electroencephalogram (EEG), which is used to record of the brain's spontaneous electrical activity from multiple electrodes placed on the scalp.",EEG (electroencephalography) abnormalities
HP:0002376,DISO,Developmental regression,HP:0002376,"Loss of developmental skills, as manifested by loss of developmental milestones.",Developmental regression
HP:0002571,DISO,achalasia,achalasia of cardia|achalasia of esophagus|achalasia of esophagus (disorder)|cardiospasm|esophageal achalasia|hypertensive lower esophageal sphincter|hypertensive lower esophageal sphincter (disorder)|Lack of reflex relaxation of lower oesophageal sphincter,An esophageal disease that is characterized by an inability of the esophagus to move food toward the stomach resulting from the lower esophogeal sphincter not fully relaxing during swallowing.,NA
HP:0003409,DISO,Distal sensory impairment of all modalities,distal sensory loss,NA,Distal sensory impairment of all modalities
HP:0006254,DISO,Elevated alpha-fetoprotein,Elevated AFP,state where Alpha-fetoprotein levels are outside of the reference range in the blood or amniotic fluid,Elevated alpha-fetoprotein
HP:0006579,DISO,neonatal jaundice,neonatal hyperbilirubinemia|neonatal icterus,"A pigmentation disease characterized by a high level of bilirubin in the blood, causing a yellowing of the skin and other tissues of a newborn infant.",neonatal jaundice
HP:0008259,DISO,Adrenocorticotropin receptor defect,adrenocorticotropin hormone-resistant adrenal insufficiency,NA,Adrenocorticotropin receptor defect
HP:0010605,DISO,meibomian cyst,Chalazion|meibomian gland lipogranuloma,"A blepharitis that is characterized as a cyst in the eyelid that is caused by inflammation of a blocked meibomian gland, usually on the upper eyelid.",meibomian cyst
MESH:D055571,PHYS,Secretory pathway,MESH:D055571,NA,Secretory pathway
MESH:D006023,PHYS,misfolded glycoprotein,glycoprotein MESH:D006023,NA,misfolded glycoprotein
HP:0002828,DISO,Contracture,multiple contractures,NA,NA
HGNC:16947,GENE,ERLIN1,C10orf69|ER lipid raft associated 1|Erlin-1|ERLIN1|KE04|KEO4|SPFH1|SPG62,gene of the species Homo sapiens,ER lipid raft associated 1
HGNC:1356,GENE,ERLIN2,C8orf2|ER lipid raft associated 2|Erlin-2|ERLIN2|NET32|SPFH2|SPG18,gene of the species Homo sapiens,ER lipid raft associated 2
HGNC:6823,GENE,MAN1B1,MANA-ER|ERMAN1|ERManI|MAN1B1|mannosidase alpha class 1B member 1|MRT15,gene of the species Homo sapiens,mannosidase alpha class 1B member 1
WormBase:WBGene00010160,GENE,PNG1,PNG1|YPL096W,gene of the species Saccharomyces cerevisiae S288c,chromatin modification-related protein
HGNC:22932,GENE,GMPPB,GDP-mannose pyrophosphorylase B|GMPPB|MDDGC14|MDDGA14|MDDGB14,gene of the species Homo sapiens,GDP-mannose pyrophosphorylase B
HGNC:22923,GENE,GMPPA,GMPPA|GDP-mannose pyrophosphorylase A|AAMR,gene of the species Homo sapiens,GDP-mannose pyrophosphorylase A
NCBITaxon:6239,LIVB,Caenorhabditis elegans,c. elegans,NA,Caenorhabditis elegans
HGNC:12666,GENE,VCP,IBMPFD|p97|TERA|VCP|valosin containing protein|ALS14|CMT2Y|HEL-220|HEL-S-70|IBMPFD1|Valosin-containing protein,gene of the species Homo sapiens,valosin containing protein
HGNC:13666,GENE,AAAS,AAA|AAAS|AAASb|ADRACALA|ADRACALIN|ALADIN|aladin WD repeat nucleoporin|GL003,gene of the species Homo sapiens,aladin WD repeat nucleoporin
HGNC:25358,GENE,RNF170,RNF170|ADSA|ring finger protein 170|sensory ataxia 1 (autosomal dominant)|SNAX1,gene of the species Homo sapiens,ring finger protein 170
HP:0500032,DISO,Aberrant neuronal branching,Neuronal branching abnormalities,NA,Aberrant neuronal branching
OMIM:223900,DISO,Riley-Day syndrome,familial autonomic nervous dysfunction|familial dysautonomia|HSAN III,Human disease,Riley-Day syndrome
OMIM:231550,DISO,triple-A syndrome,Achalasia-Addisonianism-Alacrimia syndrome|Allgrove Syndrome|triple-A syndrome,Human disease,triple-A syndrome
OMIM:608984,DISO,autosomal dominant sensory ataxia,ADSA,NA,autosomal dominant sensory ataxia
OMIM:614653,DISO,hereditary sensory neuropathy,"amilial dysautonomia, type II|congenital insensitivity to pain|familial dysautonomia, type II|hereditary sensory and autonomic neuropathy|Hereditary sensory and autonomic neuropathy (disorder)|hereditary sensory neuropathy",congenital disorder of nervous system,hereditary sensory neuropathy
OMIM:615273,DISO,NGLY1-deficiency,congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG|Alacrimia-choreoathetosis-liver dysfunction syndrome,Human disease,NA
OMIM:615510,DISO,"alacrima, achalasia, and mental retardation syndrome",AAMR,NA,"alacrima, achalasia, and mental retardation syndrome"
Orphanet:314381,DISO,Hereditary sensory and autonomic neuropathy type 6,HSAN6,NA,Hereditary sensory and autonomic neuropathy type 6
Orphanet:869,DISO,triple-A syndrome,Triple A ,NA,triple-A syndrome
REACT:R-HSA-532668,PHYS,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Reactome:R-HSA-532668,NA,N-glycan trimming in the ER and Calnexin/Calreticulin cycle
REACT:R-HSA-8850590,GENE,Deglycosylation complex,Reactome:R-HSA-8850590,NA,Deglycosylation complex
REACT:R-HSA-8850594,PHYS,Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins,Reactome:R-HSA-8850594,NA,Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins
REACT:R-HSA-8866522,GENE,ERLIN1:ERLIN2 complex,Reactome:R-HSA-8866522,NA,ERLIN1:ERLIN2 complex
REACT:R-HSA-8866531,GENE,ERAD complex [endoplasmic reticulum membrane],Reactome:R-HSA-8866531,NA,ERAD complex [endoplasmic reticulum membrane]
SO:0001587,VARI,Stop Gained,Stop variant,"A sequence variant whereby at least one base of a codon is changed, resulting in a premature stop codon, leading to a shortened transcript.",Stop Gained
EDAM:topic_0820,ANAT,type II transmembrane protein,NA,NA,type II transmembrane protein
