id	semantic_groups	preflabel	synonyms	description
WormBase:WBGene00010991	GENE	R03D7.5	NA	NA
NCBIGene:100616510	GENE	GSK3B	NA	NA
MGI:95574	GENE	Fos	NA	NA
MP:0001200	DISO	thick skin	NA	NA
MGI:103201	GENE	Aqp1	NA	NA
GO:0016324	PHYS	apical plasma membrane	NA	NA
HGNC:18402	GENE	UBXN1	NA	NA
HGNC:10417	GENE	RPS27A	NA	NA
RGD:2146	GENE	Aqp8	NA	NA
SGD:S000006017	GENE	PNG1	NA	NA
MONARCH:APO_0000087APO_0000004	GENO	resistance to chemicals:increased	NA	NA
:.well-known/genid/mgiseqaltkey2026	GENO	tm1Ask	NA	NA
MP:0008997	DISO	increased blood osmolality	NA	NA
HGNC:12468	GENE	UBC	NA	NA
HGNC:660	GENE	TRIM23	NA	NA
MGI:99919	GENE	Vcp	NA	NA
UBERON:0000002	ANAT	uterine cervix	NA	NA
NCBIGene:100049930	GENE	TCF4	NA	NA
WormBase:WBGene00012017	GENE	T25C8.1	NA	NA
WormBase:WBGene00000176	GENE	aqp-8	NA	NA
FlyBase:FBgn0261014	GENE	TER94	NA	NA
FBcv:0000414	DISO	locomotor behavior defective	NA	NA
FlyBase:FBgn0034884	GENE	Eglp3	NA	NA
MGI:1096865	GENE	Aqp2	NA	NA
NCBIGene:100426039	GENE	LOC100426039	NA	NA
ZFIN:ZDB-GENE-040718-310	GENE	aqp12	NA	NA
ZFIN:ZDB-GENE-061106-4	GENE	si:dkey-21o22.2	NA	NA
NCBIGene:452515	GENE	MTUS2	NA	NA
GO:0005886	PHYS	plasma membrane	NA	NA
FlyBase:FBgn0051619	GENE	nolo	NA	NA
WormBase:WBGene00009958	GENE	madd-4	NA	NA
WormBase:WBGene00020007	GENE	R11F4.1	NA	NA
NCBIGene:696635	GENE	GK2	NA	NA
NCBIGene:100337549	GENE	LOC100337549	NA	NA
HGNC:6451	GENE	KRT33B	NA	NA
WormBase:WBGene00021171	GENE	Y8A9A.2	NA	NA
NCBIGene:507654	GENE	ADAMTSL4	NA	NA
FlyBase:FBgn0010397	GENE	LamC	NA	NA
NCBIGene:719414	GENE	LMNA	NA	NA
ZFIN:ZDB-GENE-120320-3	GENE	nfe2l2b	NA	NA
ZFIN:ZDB-GENE-030124-1	GENE	nfe2	NA	NA
NCBIGene:106997467	GENE	AQP1	NA	NA
FlyBase:FBgn0015872	GENE	Drip	NA	NA
ZP:0003102	DISO	abnormal(ly) increased variability of size pneumatic duct epithelial cell	NA	NA
NCBIGene:793338	GENE	LOC793338	NA	NA
ZFIN:ZDB-GENE-030616-108	GENE	si:busm1-105l16.2	NA	NA
REACT:R-HSA-446203	PHYS	Asparagine N-linked glycosylation	NA	NA
HP:0001392	DISO	Abnormality of the liver	NA	NA
HGNC:22970	GENE	KRTAP10-7	NA	NA
GO:0042802	PHYS	identical protein binding	NA	NA
HP:0003103	DISO	Abnormal cortical bone morphology	NA	NA
GO:0070301	PHYS	cellular response to hydrogen peroxide	NA	NA
ZFIN:ZDB-GENE-061009-29	GENE	si:dkey-147f3.4	NA	NA
ZFIN:ZDB-GENE-060929-84	GENE	zgc:153722	NA	NA
WormBase:WBGene00002055	GENE	ifc-1	NA	NA
NCBIGene:100126859	GENE	LMNA	NA	NA
FlyBase:FBgn0259685	GENE	crb	NA	NA
FBbt:00003007PHENOTYPE	DISO	adult head phenotype	NA	NA
FlyBase:FBgn0003410	GENE	sina	NA	NA
FBcv:0000354	DISO	visible	NA	NA
MONARCH:bda1cde5e50b41cb	GENO	Aqp1<tm1b(EUCOMM)Wtsi>/Aqp1<tm1b(EUCOMM)Wtsi> [C57BL/6NTac-MRC Harwell-H-AQP1-C01-TM1B] (male)	NA	NA
HP:0000833	DISO	Glucose intolerance	NA	NA
NCBIGene:100013969	GENE	LOC100013969	NA	NA
NCBIGene:431305	GENE	AQP5	NA	NA
FlyBase:FBgn0034882	GENE	Eglp1	NA	NA
FlyBase:FBgn0027538	GENE	beta4GalNAcTA	NA	NA
FBbt:00004886PHENOTYPE	DISO	Drosophila oocyte phenotype	NA	NA
NCBIGene:510807	GENE	NFE2L3	NA	NA
ZFIN:ZDB-GENE-040426-2334	GENE	nfe2l3	NA	NA
GO:0071300	PHYS	cellular response to retinoic acid	NA	NA
NCBIGene:540564	GENE	RAD23A	NA	NA
ZFIN:ZDB-GENE-040808-59	GENE	rad23aa	NA	NA
HP:0003237	DISO	Increased IgG level	NA	NA
HGNC:23177	GENE	KEAP1	NA	NA
UBERON:0001162	ANAT	cardia of stomach	NA	NA
FlyBase:FBgn0025394	GENE	inc	NA	NA
NCBIGene:100512279	GENE	KCTD17	NA	NA
MGI:1927469	GENE	Rgs17	NA	NA
UBERON:0002264	ANAT	olfactory bulb	NA	NA
SGD:S000002165	GENE	RPT2	NA	NA
NCBIGene:506238	GENE	PSMC1	NA	NA
NCBIGene:100052494	GENE	WDFY3	NA	NA
HGNC:20751	GENE	WDFY3	NA	NA
MGI:1919138	GENE	Krt33a	NA	NA
NCBIGene:100066856	GENE	KRT34	NA	NA
MGI:96646	GENE	Jun	NA	NA
ZFIN:ZDB-GENE-030131-7859	GENE	jun	NA	NA
NCBIGene:538611	GENE	KRT40	NA	NA
RGD:1359145	GENE	Krt40	NA	NA
MGI:1309994	GENE	Krt34	NA	NA
UBERON:0001388	ANAT	gastrocnemius	NA	NA
SGD:S000003966	GENE	FPS1	NA	NA
MONARCH:APO_0000316APO_0000003	GENO	chronological lifespan:decreased	NA	NA
REACT:R-HSA-432040	PHYS	Vasopressin regulates renal water homeostasis via Aquaporins	NA	NA
HGNC:636	GENE	AQP3	NA	NA
RGD:620456	GENE	Lmna	NA	NA
RGD:1308686	GENE	Ikzf2	NA	NA
Xenbase:XB-GENE-1013632	GENE	ikzf2	NA	NA
HGNC:19706	GENE	ADAMTSL4	NA	NA
REACT:R-HSA-597592	PHYS	Post-translational protein modification	NA	NA
RGD:2143	GENE	Aqp4	NA	NA
NCBIGene:100556774	GENE	aqp4	NA	NA
NCBIGene:100066350	GENE	MDFI	NA	NA
RGD:1560271	GENE	Mdfi	NA	NA
FlyBase:FBgn0039838	GENE	CG3669	NA	NA
NCBIGene:835733	GENE	ACA8	NA	NA
ZFIN:ZDB-GENE-040426-1487	GENE	rad23b	NA	NA
KEGG-path:maphsa00511	PHYS	Other glycan degradation	NA	NA
HP:0001397	DISO	Hepatic steatosis	NA	NA
MGI:2447188	GENE	Car9	NA	NA
UBERON:0000014	ANAT	zone of skin	NA	NA
WormBase:WBGene00004346	GENE	rgs-3	NA	NA
ZFIN:ZDB-GENE-030131-9359	GENE	stat6	NA	NA
RGD:3773	GENE	Stat5a	NA	NA
ZFIN:ZDB-GENE-061110-88	GENE	ubc	NA	NA
NCBIGene:103280520	GENE	isg15	NA	NA
SGD:S000000735	GENE	GCN4	NA	NA
MONARCH:APO_0000106APO_0000003	GENO	vegetative growth:decreased	NA	NA
NCBIGene:817367	GENE	ACA2	NA	NA
FlyBase:FBgn0040629	GENE	CG18673	NA	NA
WormBase:WBGene00021082	GENE	zip-11	NA	NA
FlyBase:FBgn0028550	GENE	Atf3	NA	NA
RGD:620360	GENE	Nfe2l2	NA	NA
Xenbase:XB-GENE-943926	GENE	nfe2l2	NA	NA
HGNC:639	GENE	AQP6	NA	NA
GO:0006833	PHYS	water transport	NA	NA
FlyBase:FBgn0029856	GENE	CG11700	NA	NA
FlyBase:FBgn0026777	GENE	Rad23	NA	NA
FlyBase:FBgn0086558	GENE	Ubi-p5E	NA	NA
WormBase:WBGene00006727	GENE	ubq-1	NA	NA
NCBIGene:783495	GENE	KRTAP10-2	NA	NA
ENSEMBL:ENSDARG00000074984	GENE	CABZ01053588.1	NA	NA
ZFIN:ZDB-GENE-091204-75	GENE	mtus2a	NA	NA
SGD:S000004475	GENE	UBX2	NA	NA
MONARCH:APO_0000078APO_0000004	GENO	protein secretion:increased	NA	NA
WormBase:WBGene00004502	GENE	rpt-2	NA	NA
ZFIN:ZDB-GENE-030131-8730	GENE	psmc1a	NA	NA
MONARCH:APO_0000085APO_0000003	GENO	UV resistance:decreased	NA	NA
NCBIGene:473012	GENE	RAD23B	NA	NA
FlyBase:FBgn0005427	GENE	ewg	NA	NA
FBcv:0000351	DISO	lethal	NA	NA
NCBIGene:100051905	GENE	AQP4	NA	NA
FlyBase:FBgn0031057	GENE	Ubqn	NA	NA
FBcv:0002000	DISO	lethal - all die before end of P-stage	NA	NA
NCBIGene:738370	GENE	LOC738370	NA	NA
MGI:2145317	GENE	Brd9	NA	NA
MGI:96794	GENE	Lmna	NA	NA
MP:0001505	DISO	hunched posture	NA	NA
NCBIGene:461201	GENE	WDFY3	NA	NA
ZFIN:ZDB-GENE-070705-153	GENE	wdfy3	NA	NA
NCBIGene:454659	GENE	KRT40	NA	NA
HGNC:26707	GENE	KRT40	NA	NA
HGNC:20816	GENE	PHF12	NA	NA
NCBIGene:100025120	GENE	PHF12	NA	NA
REACT:R-HSA-445717	PHYS	Aquaporin-mediated transport	NA	NA
HP:0011034	DISO	Amyloidosis	NA	NA
RGD:2022	GENE	Acp5	NA	NA
NCBIGene:104003264	GENE	ACP5	NA	NA
NCBIGene:431304	GENE	AQP2	NA	NA
NCBIGene:100061033	GENE	GSK3B	NA	NA
MGI:103566	GENE	Cd6	NA	NA
UBERON:0000922	ANAT	embryo	NA	NA
FlyBase:FBgn0039904	GENE	Hcf	NA	NA
FBbt:00004729PHENOTYPE	DISO	Drosophila wing phenotype	NA	NA
FlyBase:FBgn0000108	GENE	Appl	NA	NA
FBbt:00004211PHENOTYPE	DISO	Drosophila photoreceptor cell phenotype	NA	NA
HP:0002240	DISO	Hepatomegaly	NA	NA
RGD:1586373	GENE	LOC689927	NA	NA
MGI:3779677	GENE	Gm7137	NA	NA
ZFIN:ZDB-GENE-060503-57	GENE	aqp10b	NA	NA
ZFIN:ZDB-GENE-061110-49	GENE	gk5	NA	NA
GO:0015168	PHYS	glycerol transmembrane transporter activity	NA	NA
MGI:1344333	GENE	Mid2	NA	NA
RGD:1565674	GENE	Mid2	NA	NA
NCBIGene:100018470	GENE	LOC100018470	NA	NA
MGI:1354743	GENE	Fbxo6	NA	NA
ZFIN:ZDB-GENE-070112-1332	GENE	engase	NA	NA
HGNC:24622	GENE	ENGASE	NA	NA
HGNC:7782	GENE	NFE2L2	NA	NA
HP:0003124	DISO	Hypercholesterolemia	NA	NA
HGNC:28635	GENE	GK5	NA	NA
RGD:1311223	GENE	Gk5	NA	NA
REACT:R-HSA-1480926	PHYS	O2/CO2 exchange in erythrocytes	NA	NA
HP:0002206	DISO	Pulmonary fibrosis	NA	NA
HGNC:634	GENE	AQP2	NA	NA
HGNC:7103	GENE	MIP	NA	NA
WormBase:WBGene00016939	GENE	C55B6.1	NA	NA
FlyBase:FBgn0035392	GENE	CG1271	NA	NA
NCBIGene:281661	GENE	CAPN1	NA	NA
FlyBase:FBgn0260450	GENE	CalpC	NA	NA
SGD:S000005251	GENE	MCK1	NA	NA
NCBIGene:101883340	GENE	tmem25	NA	NA
NCBIGene:100071266	GENE	TMEM25	NA	NA
NCBIGene:100625295	GENE	GK5	NA	NA
ZFIN:ZDB-GENE-070912-475	GENE	csrnp1a	NA	NA
ZP:0002086	DISO	abnormal(ly) disrupted erythrocyte differentiation	NA	NA
REACT:R-HSA-392499	PHYS	Metabolism of proteins	NA	NA
HP:0007021	DISO	Pain insensitivity	NA	NA
ZFIN:ZDB-GENE-120525-2	GENE	bach2a	NA	NA
NCBIGene:100025933	GENE	BACH2	NA	NA
:.well-known/genid/genoGM26590	GENO	NGLY1(c.1370dupG  R458FsTER) [GM26590]	NA	NA
HP:0000970	DISO	Anhidrosis	NA	NA
HGNC:4291	GENE	GK2	NA	NA
NCBIGene:100233182	GENE	GK	NA	NA
NCBIGene:100560370	GENE	LOC100560370	NA	NA
ZFIN:ZDB-GENE-080204-72	GENE	zgc:172295	NA	NA
ZFIN:ZDB-GENE-050706-86	GENE	mipb	NA	NA
ClinVarVariant:221581	VARI	NM_018297.3(NGLY1):c.730T>C (p.Trp244Arg)	NA	NA
HP:0002205	DISO	Recurrent respiratory infections	NA	NA
HGNC:4617	GENE	GSK3B	NA	NA
FlyBase:FBgn0003371	GENE	sgg	NA	NA
NCBIGene:100068225	GENE	VCP	NA	NA
HGNC:12666	GENE	VCP	NA	NA
NCBIGene:100567766	GENE	aqp5	NA	NA
NCBIGene:451261	GENE	UBXN1	NA	NA
RGD:1309471	GENE	Ubxn1	NA	NA
HGNC:19940	GENE	AQP11	NA	NA
HGNC:642	GENE	AQP8	NA	NA
ClinVarVariant:221582	VARI	NM_018297.3(NGLY1):c.1910delT (p.Leu637Terfs)	NA	NA
HP:0001945	DISO	Fever	NA	NA
NCBIGene:538284	GENE	USP15	NA	NA
HGNC:12613	GENE	USP15	NA	NA
ZFIN:ZDB-GENE-080213-13	GENE	zgc:174719	NA	NA
NCBIGene:721776	GENE	LOC721776	NA	NA
MGI:3779678	GENE	Gm7138	NA	NA
NCBIGene:100623597	GENE	LOC100623597	NA	NA
WormBase:WBGene00002056	GENE	ifc-2	NA	NA
WBPhenotype:0000229	DISO	small	NA	NA
NCBIGene:100056975	GENE	NRF1	NA	NA
MGI:1332235	GENE	Nrf1	NA	NA
HGNC:6636	GENE	LMNA	NA	NA
HP:0002753	DISO	Thin bony cortex	NA	NA
ZFIN:ZDB-GENE-070911-1	GENE	aqp9b	NA	NA
RGD:1308831	GENE	Creb3	NA	NA
NCBIGene:696350	GENE	CREB3	NA	NA
ClinVarVariant:474235	VARI	NM_018297.3(NGLY1):c.871C>T (p.Arg291Ter)	NA	NA
HP:0001263	DISO	Global developmental delay	NA	NA
MGI:2664636	GENE	Aqp12	NA	NA
NCBIGene:711328	GENE	RAD23B	NA	NA
NCBIGene:615498	GENE	AQP7	NA	NA
MGI:1314647	GENE	Aqp7	NA	NA
MGI:1860276	GENE	Ubqln1	NA	NA
HGNC:12508	GENE	UBQLN1	NA	NA
FlyBase:FBgn0033673	GENE	CG8298	NA	NA
MGI:1201408	GENE	Srpk2	NA	NA
FlyBase:FBgn0025702	GENE	Srpk79D	NA	NA
MGI:1913583	GENE	Aqp11	NA	NA
MP:0002702	DISO	decreased circulating free fatty acid level	NA	NA
RGD:1561557	GENE	RGD1561557	NA	NA
MGI:3781411	GENE	Gm3233	NA	NA
NCBIGene:505987	GENE	GK	NA	NA
FlyBase:FBgn0035266	GENE	Gk2	NA	NA
MGI:99951	GENE	Mafk	NA	NA
NCBIGene:721769	GENE	MAFK	NA	NA
NCBIGene:458716	GENE	GUCD1	NA	NA
MGI:1916028	GENE	Gucd1	NA	NA
NCBIGene:506676	GENE	UBXN1	NA	NA
NCBIGene:784921	GENE	GATAD1	NA	NA
FlyBase:FBgn0025634	GENE	CG13367	NA	NA
HGNC:15912	GENE	NSFL1C	NA	NA
NCBIGene:100513186	GENE	NSFL1C	NA	NA
MGI:894679	GENE	Bach2	NA	NA
NCBIGene:100554926	GENE	bach2	NA	NA
ZFIN:ZDB-GENE-080218-15	GENE	zgc:173570	NA	NA
ZFIN:ZDB-GENE-090313-79	GENE	fbxw7	NA	NA
MGI:88059	GENE	App	NA	NA
GO:0008088PHENOTYPE	PHYS	axon cargo transport phenotype	NA	NA
ZFIN:ZDB-GENE-030131-5408	GENE	vcp	NA	NA
RGD:1305596	GENE	Gykl1	NA	NA
MGI:1924057	GENE	Phf12	NA	NA
Xenbase:XB-GENE-968349	GENE	phf12	NA	NA
WormBase:WBGene00016871	GENE	inso-1	NA	NA
NCBIGene:614912	GENE	KCTD17	NA	NA
HGNC:1492	GENE	SHPK	NA	NA
NCBIGene:100515408	GENE	SHPK	NA	NA
HGNC:6782	GENE	MAFK	NA	NA
MGI:99421	GENE	Nfe2l1	NA	NA
HP:0001903	DISO	Anemia	NA	NA
HGNC:12031	GENE	TRAF1	NA	NA
GO:0005737	PHYS	cytoplasm	NA	NA
ZFIN:ZDB-GENE-080815-4	GENE	ca12	NA	NA
HP:0003560	DISO	Muscular dystrophy	NA	NA
FlyBase:FBgn0260475	GENE	CG30059	NA	NA
FBcv:0000435	DISO	neuroanatomy defective	NA	NA
FlyBase:FBgn0038475	GENE	Keap1	NA	NA
NCBIGene:100012710	GENE	KEAP1	NA	NA
MP:0002833	DISO	increased heart weight	NA	NA
MGI:1096875	GENE	Wdfy3	NA	NA
NCBIGene:706535	GENE	WDFY3	NA	NA
HGNC:14300	GENE	CSRNP1	NA	NA
GO:0005634	PHYS	nucleus	NA	NA
MP:0001473	DISO	reduced long term potentiation	NA	NA
MGI:108420	GENE	Nfe2l2	NA	NA
MGI:1345138	GENE	Spry2	NA	NA
MP:0001265	DISO	decreased body size	NA	NA
NCBIGene:700842	GENE	NGLY1	NA	NA
ZFIN:ZDB-GENE-050522-535	GENE	ngly1	NA	NA
ZFIN:ZDB-GENE-041114-160	GENE	nsfl1c	NA	NA
NCBIGene:715743	GENE	NSFL1C	NA	NA
GO:0071260	PHYS	cellular response to mechanical stimulus	NA	NA
WormBase:WBGene00003485	GENE	mua-6	NA	NA
WBPhenotype:0000644	DISO	paralyzed	NA	NA
MGI:2443336	GENE	Gk5	NA	NA
MP:0011570	DISO	esophageal achalasia	NA	NA
NCBIGene:100027613	GENE	CCDC36	NA	NA
ZFIN:ZDB-GENE-131121-199	GENE	ccdc36	NA	NA
FlyBase:FBgn0039486	GENE	caix	NA	NA
RGD:1306612	GENE	Car12	NA	NA
ZFIN:ZDB-GENE-100922-110	GENE	si:dkey-242e21.3	NA	NA
NCBIGene:282881	GENE	CD6	NA	NA
FlyBase:FBgn0034560	GENE	CG9235	NA	NA
Xenbase:XB-GENE-1015246	GENE	ca12	NA	NA
RGD:1563804	GENE	Hcfc1	NA	NA
FlyBase:FBgn0003731	GENE	Egfr	NA	NA
FBbt:00003154PHENOTYPE	DISO	Drosophila adult heart phenotype	NA	NA
HP:0002605	DISO	Hepatic necrosis	NA	NA
NCBIGene:100018910	GENE	TRIM23	NA	NA
HGNC:1383	GENE	CA9	NA	NA
FlyBase:FBgn0003942	GENE	RpS27A	NA	NA
ZFIN:ZDB-GENE-081104-522	GENE	si:dkey-103d23.3	NA	NA
NCBIGene:100028099	GENE	CA9	NA	NA
HGNC:13178	GENE	IKZF3	NA	NA
Xenbase:XB-GENE-994462	GENE	ikzf3	NA	NA
WormBase:WBGene00000178	GENE	aqp-10	NA	NA
WormBase:WBGene00000177	GENE	aqp-9	NA	NA
ZFIN:ZDB-GENE-050107-5	GENE	gnsa	NA	NA
ZFIN:ZDB-GENE-030131-5846	GENE	gnsb	NA	NA
MGI:3650327	GENE	Gm11565	NA	NA
MGI:3651030	GENE	Krtap4-16	NA	NA
ClinVarVariant:221583	VARI	NM_018297.3(NGLY1):c.930C>T (p.Gly310=)	NA	NA
HP:0200136	DISO	Oral-pharyngeal dysphagia	NA	NA
HGNC:12032	GENE	TRAF2	NA	NA
MGI:1341204	GENE	Aqp6	NA	NA
GO:0015250	PHYS	water channel activity	NA	NA
NCBIGene:467054	GENE	GNS	NA	NA
MGI:1922862	GENE	Gns	NA	NA
HGNC:6781	GENE	MAFG	NA	NA
HGNC:7780	GENE	NFE2	NA	NA
RGD:1562533	GENE	Mtus2	NA	NA
ZFIN:ZDB-GENE-030131-9846	GENE	sb:cb449	NA	NA
NCBIGene:100554106	GENE	gns	NA	NA
FlyBase:FBgn0033050	GENE	Pngl	NA	NA
GO:0046872	PHYS	metal ion binding	NA	NA
MGI:1309993	GENE	Krt31	NA	NA
NCBIGene:618453	GENE	KRT31	NA	NA
NCBIGene:517002	GENE	ACP5	NA	NA
ZFIN:ZDB-GENE-040426-2864	GENE	acp5a	NA	NA
NCBIGene:453764	GENE	LINGO1	NA	NA
ZFIN:ZDB-GENE-040912-136	GENE	lingo1b	NA	NA
ZFIN:ZDB-GENE-030131-7018	GENE	wu:fk65c09	NA	NA
ZFIN:ZDB-GENE-030131-10018	GENE	rps27a	NA	NA
ZFIN:ZDB-GENE-030131-7038	GENE	spry2	NA	NA
MGI:2389008	GENE	Adamtsl4	NA	NA
MGI:101835	GENE	Traf2	NA	NA
MP:0008553	DISO	increased circulating tumor necrosis factor level	NA	NA
NCBIGene:100562231	GENE	egfr	NA	NA
MGI:95294	GENE	Egfr	NA	NA
MGI:1889623	GENE	Trim54	NA	NA
GO:0005515	PHYS	protein binding	NA	NA
WormBase:WBGene00010160	GENE	png-1	NA	NA
WormBase:WBGene00000843	GENE	cup-2	NA	NA
NCBIGene:100030223	GENE	RGS20	NA	NA
MGI:1929866	GENE	Rgs20	NA	NA
NCBIGene:618455	GENE	LOC618455	NA	NA
NCBIGene:841949	GENE	UBQ12	NA	NA
RGD:1306649	GENE	Spryd4	NA	NA
NCBIGene:427503	GENE	FSD2	NA	NA
SGD:S000002351	GENE	ARF1	NA	NA
MONARCH:APO_0000028APO_0000004	GENO	invasive growth:increased	NA	NA
MP:0005215	DISO	abnormal pancreatic islet morphology	NA	NA
NCBIGene:832733	GENE	SK 11	NA	NA
ZFIN:ZDB-GENE-030723-2	GENE	nfe2l2a	NA	NA
NCBIGene:742622	GENE	NFE2L2	NA	NA
NCBIGene:540676	GENE	IKZF3	NA	NA
MGI:1342542	GENE	Ikzf3	NA	NA
Xenbase:XB-GENE-983229	GENE	gk5	NA	NA
HGNC:17646	GENE	NGLY1	NA	NA
MGI:1918526	GENE	Ccdc57	NA	NA
GO:0003674	PHYS	molecular function	NA	NA
NCBIGene:454538	GENE	PHF12	NA	NA
GO:0032809	PHYS	neuronal cell body membrane	NA	NA
HGNC:27035	GENE	UBXN2B	NA	NA
HGNC:633	GENE	AQP1	NA	NA
FlyBase:FBgn0030839	GENE	CG5613	NA	NA
Xenbase:XB-GENE-487098	GENE	gsk3b	NA	NA
SGD:S000004747	GENE	RIM11	NA	NA
NCBIGene:100567572	GENE	aqp2	NA	NA
MGI:98888	GENE	Ubb	NA	NA
RGD:621562	GENE	Ubb	NA	NA
NCBIGene:100126852	GENE	GSK3B	NA	NA
FBcv:0000349	DISO	viable	NA	NA
NCBIGene:705607	GENE	LOC705607	NA	NA
ZFIN:ZDB-GENE-050320-14	GENE	zgc:112185	NA	NA
NCBIGene:100154198	GENE	TRAFD1	NA	NA
ZFIN:ZDB-GENE-070410-43	GENE	trafd1	NA	NA
NCBIGene:463708	GENE	CCDC136	NA	NA
FlyBase:FBgn0040011	GENE	Slmap	NA	NA
ZFIN:ZDB-GENE-080418-1	GENE	aqp11	NA	NA
HGNC:16712	GENE	FBXW7	NA	NA
HP:0002905	DISO	Hyperphosphatemia	NA	NA
HGNC:23427	GENE	KIAA1958	NA	NA
UBERON:0002483	ANAT	trabecular bone tissue	NA	NA
HGNC:7781	GENE	NFE2L1	NA	NA
HGNC:23625	GENE	RUSC2	NA	NA
HGNC:4289	GENE	GK	NA	NA
NCBIGene:100560015	GENE	capn1	NA	NA
HP:0001644	DISO	Dilated cardiomyopathy	NA	NA
NCBIGene:100067436	GENE	LOC100067436	NA	NA
HGNC:6096	GENE	AQP12B	NA	NA
MGI:3781416	GENE	Gm3238	NA	NA
SGD:S000002296	GENE	ARF2	NA	NA
MONARCH:APO_0000109APO_0000003	GENO	survival rate in stationary phase:decreased	NA	NA
NCBIGene:106505015	GENE	NFE2L1	NA	NA
ZFIN:ZDB-GENE-040630-5	GENE	nfe2l1a	NA	NA
:.well-known/genid/genoGM26585	GENO	NGLY1(ARG401TER) [GM26585]	NA	NA
Xenbase:XB-GENE-5797733	GENE	fbxo6	NA	NA
NCBIGene:796215	GENE	si:dkey-147f3.8	NA	NA
NCBIGene:100616516	GENE	BACH2	NA	NA
REACT:R-HSA-382551	PHYS	Transmembrane transport of small molecules	NA	NA
HP:0000099	DISO	Glomerulonephritis	NA	NA
Xenbase:XB-GENE-961541	GENE	gk	NA	NA
HGNC:4292	GENE	GK3P	NA	NA
ZFIN:ZDB-GENE-041014-366	GENE	si:ch211-51a19.5	NA	NA
RGD:1561012	GENE	Adamtsl4	NA	NA
WormBase:WBGene00020567	GENE	T19D2.1	NA	NA
FlyBase:FBgn0033635	GENE	Prip	NA	NA
NCBIGene:100069916	GENE	AQP1	NA	NA
FlyBase:FBgn0027843	GENE	CAH2	NA	NA
ZFIN:ZDB-GENE-040718-40	GENE	aqp10a	NA	NA
MP:0004948	DISO	abnormal neuronal precursor proliferation	NA	NA
NCBIGene:837326	GENE	ACA7	NA	NA
MP:0001929	DISO	abnormal gametogenesis	NA	NA
WormBase:WBGene00000175	GENE	aqp-7	NA	NA
HGNC:16029	GENE	AQP10	NA	NA
NCBIGene:100564023	GENE	gsk3b	NA	NA
SGD:S000002237	GENE	MRK1	NA	NA
GO:0030184	PHYS	nitric oxide transmembrane transporter activity	NA	NA
NCBIGene:463415	GENE	EGFR	NA	NA
FBbt:00003120PHENOTYPE	DISO	adult spiracle phenotype	NA	NA
NCBIGene:711655	GENE	TNK2	NA	NA
ZFIN:ZDB-GENE-091118-85	GENE	tnk2a	NA	NA
