subject_id,property_id,property_label,property_description,property_uri,object_id,subject_qid,property_pid,object_qid,reference_uri,reference_supporting_text,reference_date,property_term,subject_type,object_type,subject_term,object_term,prevalence,curation_evidence,curation_date,curator_uri,comments
UniProt:Q96IV0,RO:0002331,involved in,NA,NA,GO:0006515,Q21119040,P682,Q21108009,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"NGLY1 encodes N-glycanase 1, an enzyme involved in the cytosolic degradation of misfolded glycoproteins and other glycoproteins bound for degradation.",2016-07-07,participates,protein,biological process,N-Glycanase 1,cytosolic degradation of misfolded glycoproteins and other glycoproteins bound for degradation.,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
UniProt:Q96IV0,RO:0002331,involved in,NA,NA,GO:0006516,Q21119040,P682,Q21101373,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"NGLY1 encodes N-glycanase 1, an enzyme involved in the cytosolic degradation of misfolded glycoproteins and other glycoproteins bound for degradation.",2016-07-07,participates,protein,biological process,N-Glycanase 1,cytosolic degradation of misfolded glycoproteins and other glycoproteins bound for degradation.,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
UniProt:Q96IV0,RO:0002331,involved in,NA,NA,GO:0006517,Q21119040,P682,Q14905965,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"NGLY1 encodes N-glycanase 1, an enzyme involved in the cytosolic degradation of misfolded glycoproteins and other glycoproteins bound for degradation.",2016-07-07,participates,protein,biological process,N-Glycanase 1,cytosolic degradation of misfolded glycoproteins and other glycoproteins bound for degradation.,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
UniProt:Q96IV0,RO:0002327,enables,NA,NA,GO:0000224,Q21119040,P680,Q21119039,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"The cytosolic enzyme N-glycanase 1, encoded by NGLY1, catalyzes cleavage of the B-aspartyl glycosylamine bond of N-linked glycoproteins, releasing intact N-glycans from proteins bound for degradation.",2016-07-07,molecular_activity,protein,molecular function,N-Glycanase 1,"cleavage of the B-aspartyl glycosylamine bond of N-linked glycoproteins, releasing intact N-glycans from proteins bound for degradation.",NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
UniProt:Q96IV0,BFO:0000050,is part of,NA,NA,GO:0005829,Q21119040,P681,Q220599,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"The cytosolic enzyme N-glycanase 1, encoded by NGLY1, catalyzes cleavage of the B-aspartyl glycosylamine bond of N-linked glycoproteins, releasing intact N-glycans from proteins bound for degradation.",2016-07-07,in_cell_component,protein,cell component,N-Glycanase 1,cytosol,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
UniProt:Q96IV0,RO:0002206,expressed in,NA,NA,CL:0000738,Q21119040,P2293,Q42395,https://www.ncbi.nlm.nih.gov/pubmed/27388694,NGLY1 protein expression in leukocytes was reduced in the parents and undetectable in the proband compared with controls.,2016-07-07,down_protein_expression_in,protein,anatomy,NGLY1 protein,leukocytes,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
GO:0006517,RO:0002200,has phenotype,NA,NA,DOID:0060728,Q14905965,P2293,Q28024539,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Although more than 100 different congenital disorders of glycosylatoin (CDGs) have been reported since the first description by Jaeken et al. in 1980, only one congenital disorder of deglycosilation has been described. NGLY1 deficiency (OMIM 610661 and 615273), or NGLY1-CDDG, was first reported in 2012 by Need et al., who, through exome sequencing, identified biallelic mutations in the NGLY1 gene as the cause of disease in one child.",2016-07-07,associates,biological process,disease,deglycosilation,NGLY1 deficiency,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001999 ,Q28024539,P1557,Q29019704,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Our prospective investigations into NGLY1-CDDG revealed several new discoveries associated with this disorder.(...). We also confirmed and further detailed the global developmental delay, movement disorder, frequent seizure disorder, hypotonia, hypolacrima or alacrima, corneal disease, ptosis, lagophthalmous, strabismus, peripheral neuropathy and occasional diminished reflexes, hypohidrosis, auditory brainstem response abnormalities, abnormal brain imaging, scoliosis, acquired microcephaly, small hands and feet, dysmorphic features, constipation, elevated liver enzymes present only early in childhood, osteopenia, and hypocholesterolemia associated with NGLY1-CDDG. ",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,dysmorphic features,discussion,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0000297,Q28024539,P1557,Q29642554,https://www.ncbi.nlm.nih.gov/pubmed/27388694,Most affected individuals had hypotonic facies. ,2016-07-07,presents,disease,phenotype,NGLY1 deficiency,hypotonic facies (dysmorphology) ,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0004325 ,Q28024539,P1557,Q29642619,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Our prospective investigations into NGLY1-CDDG revealed several new discoveries associated with this disorder. These include low CSF total protein and albumin, optic atrophy and retinal pigmentary changes/cone distrophy, poor weight gain starting in mid-childhood, lower than predicted resting energy expenditure, central and obstructive sleep apnea, delayed bone age, joint hypermobility, progressive brain atrophy, abnormalities in MRS-measured metabolites, various abnormalities on skeletal survey, high antibody titers after rubella and rubeola vaccination, and low levels of several pro-coagulation and anti-coagulation factors.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,low weight,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0000275 ,Q28024539,P1557,Q29642692,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"The features of older individuals reflected their low weight, with thin facies, hollowed cheeks, and visible zygomatic arches.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,thin facies,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0009938 ,Q28024539,P1557,Q29642730,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"The features of older individuals reflected their low weight, with thin facies, hollowed cheeks, and visible zygomatic arches.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,hollowed cheeks,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0012370,Q28024539,P1557,NA,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"The features of older individuals reflected their low weight, with thin facies, hollowed cheeks, and visible zygomatic arches.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,visible zygomatic arches,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0000463 ,Q28024539,P1557,Q29642988,https://www.ncbi.nlm.nih.gov/pubmed/27388694,Figure 2,2016-07-07,presents,disease,phenotype,NGLY1 deficiency,upturned nasal tip,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0000508 ,Q28024539,P1557,Q622427,https://www.ncbi.nlm.nih.gov/pubmed/27388694,Figure 2,2016-07-07,presents,disease,clinical feature,NGLY1 deficiency,ptosis,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0000248 ,Q28024539,P1557,Q42649,https://www.ncbi.nlm.nih.gov/pubmed/27388694,Figure 2,2016-07-07,presents,disease,phenotype,NGLY1 deficiency,brachycephaly,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0005484 ,Q28024539,P1557,Q29643000,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Our prospective investigations into NGLY1-CDDG revealed several new discoveries associated with this disorder.(...). We also confirmed and further detailed the global developmental delay, movement disorder, frequent seizure disorder, hypotonia, hypolacrima or alacrima, corneal disease, ptosis, lagophthalmous, strabismus, peripheral neuropathy and occasional diminished reflexes, hypohidrosis, auditory brainstem response abnormalities, abnormal brain imaging, scoliosis, acquired microcephaly, small hands and feet, dysmorphic features, constipation, elevated liver enzymes present only early in childhood, osteopenia, and hypocholesterolemia associated with NGLY1-CDDG. ",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,acquired microcephaly,4/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001773,Q28024539,P1557,Q29019700,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Our prospective investigations into NGLY1-CDDG revealed several new discoveries associated with this disorder.(...). We also confirmed and further detailed the global developmental delay, movement disorder, frequent seizure disorder, hypotonia, hypolacrima or alacrima, corneal disease, ptosis, lagophthalmous, strabismus, peripheral neuropathy and occasional diminished reflexes, hypohidrosis, auditory brainstem response abnormalities, abnormal brain imaging, scoliosis, acquired microcephaly, small hands and feet, dysmorphic features, constipation, elevated liver enzymes present only early in childhood, osteopenia, and hypocholesterolemia associated with NGLY1-CDDG. ",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,short foot,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001263,Q28024539,P1557,Q1142806,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"In this study, we describe the clinical spectrum of NGLY1 deficiency (NGLY1-CDDG). In 12 individuals ages 2 to 21 years with confirmed, biallelic, pathogenic NGLY1 mutations, we identified previously unreported clinical features, including optic atrophy and retinal pigmentary changes/cone distrophy, delayed bone age, joint hypermobility, and lower than predicted resting energy expenditure. Novel findings include low cerebral spinal fluid (CSF) total protein and albumin and unusually high antibody titers toward rubella and/or rubeola following vaccination. We also confirmed and further quantified previously reported findings noting that decreased tear production, transient transaminitis, small feet, a complex hyperkinetic movement disorder, and varying degrees of global developmental delay with relatively preserved socialization are the most consistent features.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,developmental delay,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001249 ,Q28024539,P1557,Q183560,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"All 12 subjects had at least some developmental delay or intellectual disability, with a broad range of severity (Table 1 and Supplemental Table S1 online).",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,intellectual disability,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0004302 ,Q28024539,P1557,Q29643060,https://www.ncbi.nlm.nih.gov/pubmed/27388694,Motor deficits were also reflected in impaired daily living skills scores.,2016-07-07,presents,disease,phenotype,NGLY1 deficiency,motor deficits,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0031058,Q28024539,P1557,NA,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"On the Vineland Adaptative Behavior Scales (second edition), composite scores ranged from 24 to 98, with a mean of 51 (SEM=7). (Table 1 and Supplemental Table S1 online). Table 1 caption: Vineland Adaptative Behavior Scales composite score; in a normal population, the mean is 100 and standard deviation is 15.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,"Low Vineland Adaptative Behaviour score (mean=51, SEM=7) or impaired daily living skills",12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001250,Q28024539,P1557,Q6279182,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Our prospective investigations into NGLY1-CDDG revealed several new discoveries associated with this disorder.(...). We also confirmed and further detailed the global developmental delay, movement disorder, frequent seizure disorder, hypotonia, hypolacrima or alacrima, corneal disease, ptosis, lagophthalmous, strabismus, peripheral neuropathy and occasional diminished reflexes, hypohidrosis, auditory brainstem response abnormalities, abnormal brain imaging, scoliosis, acquired microcephaly, small hands and feet, dysmorphic features, constipation, elevated liver enzymes present only early in childhood, osteopenia, and hypocholesterolemia associated with NGLY1-CDDG. ",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,seizures,7/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0010841 ,Q28024539,P1557,Q29643234,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"On overnight EEG, only one individual (patient 6) had active seizures recorded, but seven had multifocal epileptiform activity.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,multifocal epileptiform activity,7/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0004305,Q28024539,P1557,Q2608695,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"In this study, we describe the clinical spectrum of NGLY1 deficiency (NGLY1-CDDG). In 12 individuals ages 2 to 21 years with confirmed, biallelic, pathogenic NGLY1 mutations, we identified previously unreported clinical features, including optic atrophy and retinal pigmentary changes/cone distrophy, delayed bone age, joint hypermobility, and lower than predicted resting energy expenditure. Novel findings include low cerebral spinal fluid (CSF) total protein and albumin and unusually high antibody titers toward rubella and/or rubeola following vaccination. We also confirmed and further quantified previously reported findings noting that decreased tear production, transient transaminitis, small feet, a complex hyperkinetic movement disorder, and varying degrees of global developmental delay with relatively preserved socialization are the most consistent features.",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,"hyperkinetic movement disorder (inlcude choreiform, athetoid, dystonic, myoclonic, action tremor, and dysmetric movements)",12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0002072 ,Q28024539,P1557,Q1076421,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"All 12 individuals exhibited hyperkinetic movement disorders that included choreiform, athetoid, dystonic, myoclonic, action tremor, and dysmetric movements, and were more severe in younger individuals (Supplementary Movie S1 online).",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,choreiform movements,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0002305 ,Q28024539,P1557,Q755524,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"All 12 individuals exhibited hyperkinetic movement disorders that included choreiform, athetoid, dystonic, myoclonic, action tremor, and dysmetric movements, and were more severe in younger individuals (Supplementary Movie S1 online).",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,athetoid movements,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001336 ,Q28024539,P1557,Q116275,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"All 12 individuals exhibited hyperkinetic movement disorders that included choreiform, athetoid, dystonic, myoclonic, action tremor, and dysmetric movements, and were more severe in younger individuals (Supplementary Movie S1 online).",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,myoclonic movements,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0002345 ,Q28024539,P1557,Q29643911,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"All 12 individuals exhibited hyperkinetic movement disorders that included choreiform, athetoid, dystonic, myoclonic, action tremor, and dysmetric movements, and were more severe in younger individuals (Supplementary Movie S1 online).",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,action tremor,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001332 ,Q28024539,P1557,Q906492,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"All 12 individuals exhibited hyperkinetic movement disorders that included choreiform, athetoid, dystonic, myoclonic, action tremor, and dysmetric movements, and were more severe in younger individuals (Supplementary Movie S1 online).",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,dystonic movements,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001310 ,Q28024539,P1557,Q517183,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"All 12 individuals exhibited hyperkinetic movement disorders that included choreiform, athetoid, dystonic, myoclonic, action tremor, and dysmetric movements, and were more severe in younger individuals (Supplementary Movie S1 online).",2016-07-07,presents,disease,phenotype,NGLY1 deficiency,dysmetric movements,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0012448,Q28024539,P1557,Q29643664,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Delayed myelination was present in three of the four youngest individuals, but all the older individuals had complete myelination.",2016-07-07,presents,disease,laboratory findings,NGLY1 deficiency,delayed myelination,3/11,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0012444 ,Q28024539,P1557,Q29643693,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Our prospective investigations into NGLY1-CDDG revealed several new discoveries associated with this disorder. These include low CSF total protein and albumin, optic atrophy and retinal pigmentary changes/cone distrophy, poor weight gain starting in mid-childhood, lower than predicted resting energy expenditure, central and obstructive sleep apnea, delayed bone age, joint hypermobility, progressive brain atrophy, abnormalities in MRS-measured metabolites, various abnormalities on skeletal survey, high antibody titers after rubella and rubeola vaccination, and low levels of several pro-coagulation and anti-coagulation factors.",2016-07-07,presents,disease,laboratory findings,NGLY1 deficiency,"cerebral or brain atrophy (Brain MRI, MRS)",6/9,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0001272,Q28024539,P1557,Q29643762,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Four individuals (patients 1, 2, 6 and 10) also had slight cerebellar atrophy.",2016-07-07,presents,disease,laboratory findings,NGLY1 deficiency,"slight cerebellar atrophy (Brain MRI, MRS)",4/11,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0012705 ,Q28024539,P1557,Q29643776,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Our prospective investigations into NGLY1-CDDG revealed several new discoveries associated with this disorder. These include low CSF total protein and albumin, optic atrophy and retinal pigmentary changes/cone distrophy, poor weight gain starting in mid-childhood, lower than predicted resting energy expenditure, central and obstructive sleep apnea, delayed bone age, joint hypermobility, progressive brain atrophy, abnormalities in MRS-measured metabolites, various abnormalities on skeletal survey, high antibody titers after rubella and rubeola vaccination, and low levels of several pro-coagulation and anti-coagulation factors.",2016-07-07,presents,disease,laboratory findings,NGLY1 deficiency,abnormalities in brain MRS-measured metabolites,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0012708,Q28024539,P1557,NA,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Compared with the reference population, N-acetylaspartylglutamate plus N-acetylaspartate (NAA) was lower than normal in the left centrum semiovale (LCSO) (P = 0.004), the midline parietal gray matter (PGM) (P = 0.02), and superior cerebellar vermis (SVERM) (P < 0.0001). There was a deficit of glutamine plus glutamate plus gamma-aminobutyric acid (Glx) in the PGM (P = 0.03), LCSO (P = 0.01), and pons (P = 0.0002). Choline was higher than expected for age only in the LCSO (P = 0.0097), and myo-inositol was higher than expected for age in the pons (P = 0.002). Multiple correlations between these MRS-measured metabolites and age, functional assessments, brain volume, and neurotransmitters in the CSF were found (Supplementary Figure S3 online).",2016-07-07,presents,disease,laboratory findings,NGLY1 deficiency,low NAA in brain by MRS,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
DOID:0060728,RO:0002200,has phenotype,NA,NA,HP:0030980,Q28024539,P1557,NA,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"Compared with the reference population, N-acetylaspartylglutamate plus N-acetylaspartate (NAA) was lower than normal in the left centrum semiovale (LCSO) (P = 0.004), the midline parietal gray matter (PGM) (P = 0.02), and superior cerebellar vermis (SVERM) (P < 0.0001). There was a deficit of glutamine plus glutamate plus gamma-aminobutyric acid (Glx) in the PGM (P = 0.03), LCSO (P = 0.01), and pons (P = 0.0002). Choline was higher than expected for age only in the LCSO (P = 0.0097), and myo-inositol was higher than expected for age in the pons (P = 0.002). Multiple correlations between these MRS-measured metabolites and age, functional assessments, brain volume, and neurotransmitters in the CSF were found (Supplementary Figure S3 online).",2016-07-07,presents,disease,laboratory findings,NGLY1 deficiency,deficit of glutamine plus glutamate plus gamma-aminobutyric acid (Glx) in brain by MRS,12/12,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
